2024-04-24 10:47:11 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-04-24 10:47:11 status half-configured mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 status half-installed mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 install mount:amd64 <none> 2.39.3-9ubuntu6
2024-04-24 10:47:11 status half-installed mount:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:11 status unpacked mount:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:11 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:11 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:11 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:11 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-04-24 10:47:11 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2024-04-24 10:47:11 status half-configured perl-base:amd64 5.38.2-3.2build2
2024-04-24 10:47:11 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-04-24 10:47:11 status half-installed perl-base:amd64 5.38.2-3.2build2
2024-04-24 10:47:11 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-04-24 10:47:11 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2024-04-24 10:47:11 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2024-04-24 10:47:11 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2024-04-24 10:47:11 install sed:amd64 <none> 4.9-2build1
2024-04-24 10:47:11 status half-installed sed:amd64 4.9-2build1
2024-04-24 10:47:11 status unpacked sed:amd64 4.9-2build1
2024-04-24 10:47:11 install sensible-utils:all <none> 0.0.22
2024-04-24 10:47:11 status half-installed sensible-utils:all 0.0.22
2024-04-24 10:47:11 status unpacked sensible-utils:all 0.0.22
2024-04-24 10:47:11 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2024-04-24 10:47:11 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-24 10:47:11 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-24 10:47:11 install tar:amd64 <none> 1.35+dfsg-3build1
2024-04-24 10:47:11 status half-installed tar:amd64 1.35+dfsg-3build1
2024-04-24 10:47:11 status unpacked tar:amd64 1.35+dfsg-3build1
2024-04-24 10:47:11 install util-linux:amd64 <none> 2.39.3-9ubuntu6
2024-04-24 10:47:11 status half-installed util-linux:amd64 2.39.3-9ubuntu6
